form	lemma	POS	voice	tense	mood	number	person	gender	case	state	possessive-number	possessive-person	possessive-gender
آب	أبى	verb	active	non-past	indicative	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	indicative	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	indicative	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	indicative	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	jussive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	jussive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	jussive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	jussive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	subjunctive	singular	1	feminine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	subjunctive	singular	1	feminine	nominative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	subjunctive	singular	1	masculine	accusative	n/a	n/a	n/a	n/a
آب	أبى	verb	active	non-past	subjunctive	singular	1	masculine	nominative	n/a	n/a	n/a	n/a
آثار	أثر	noun	n/a	n/a	n/a	plural	n/a	feminine	accusative	construct	n/a	n/a	n/a
آثار	أثر	noun	n/a	n/a	n/a	plural	n/a	feminine	genitive	construct	n/a	n/a	n/a
آثار	أثر	noun	n/a	n/a	n/a	plural	n/a	feminine	genitive	indefinite	n/a	n/a	n/a
آثار	أثر	noun	n/a	n/a	n/a	plural	n/a	feminine	nominative	construct	n/a	n/a	n/a
آثار	أثر	noun	n/a	n/a	n/a	plural	n/a	feminine	nominative	indefinite	n/a	n/a	n/a
آخر	آخر	adjective	n/a	n/a	n/a	singular	n/a	masculine	accusative	construct	n/a	n/a	n/a
آخر	آخر	adjective	n/a	n/a	n/a	singular	n/a	masculine	genitive	construct	n/a	n/a	n/a
آخر	آخر	adjective	n/a	n/a	n/a	singular	n/a	masculine	genitive	indefinite	n/a	n/a	n/a
آخر	آخر	adjective	n/a	n/a	n/a	singular	n/a	masculine	nominative	construct	n/a	n/a	n/a
آخر	آخر	adjective	n/a	n/a	n/a	singular	n/a	masculine	nominative	indefinite	n/a	n/a	n/a
آخر	آخر	noun	n/a	n/a	n/a	singular	n/a	masculine	accusative	construct	n/a	n/a	n/a
