form	lemma
آب	أبى
آثار	أثر
آخر	آخر
آخرها	آخر
آخرون	آخر
آخرين	آخر
آداب	أدب
آدم	دم
آر	آر
آراء	رأي
آسف	أسف
آسفة	آسف
آسيا	سي
آسيوي	آسي
آفاق	أفق
آل	آل
آلاف	ألف
آلة	آلة
آليات	آلية
آلية	لية
آمال	مال
آمنة	آمن
آنذاك	آنذاك
آنسة	آنسة
آيات	آية
أ	أ
أأنت	أن
أئمة	إمام
أبا	أب
أبحاث	بحث
أبدا	بدا
أبداً	بد
أبدو	بدا
أبدى	أبدى
أبراج	برج
أبرز	أبرز
أبرزها	أبرز
أبطال	بطل
أبعاد	بعد
أبعد	بعد
أبقى	بقي
أبل	بل
أبلغ	بلغ
أبناء	ابن
أبو	أب
أبواب	بواب
أبى	أبى
أبي	ب
أبيض	أبيض
أبين	بين
أبيه	أب
أتت	أتى
أتحدث	حدث
أتذكر	ذكر
أترك	رك
أترى	رأى
أتريد	أراد
أتعرف	عرف
أتعلم	علم
أتعلمين	علم
أتفهم	فهم
أتكلم	كلم
أتمنى	مني
أتوقع	وقع
أتى	أتى
أتيت	أتى
أثارت	أثار
أثبت	ثبت
أثبتت	ثبت
أثر	أثر
أثرت	أثر
أثرية	أثري
أثق	وثق
أثناء	ثني
أجانب	جانب
أجد	جد
أجرى	جرى
أجريت	جرى
أجزاء	جزء
أجل	جلا
أجلك	جلا
أجله	جلا
أجلي	جلا
أجمع	جمع
أجمل	جملة
أجنبي	أجنبي
أجنبية	أجنبي
أجندة	أجندة
أجهزة	جهاز
أجواء	جو
أجور	أجر
أجيال	جيل
أحاول	حاول
أحب	حب
أحببت	أحب
أحبك	حب
أحتاج	احتاج
أحد	حد
أحدا	حد
أحداث	حدث
أحداً	حد
أحدث	حدث
أحدكم	حد
أحدهم	حد
أحدهما	حد
أحرار	حر
أحرز	حرز
أحرقه	حرق
أحزاب	حزب
أحسن	حسن
أحسنت	حسن
أحضر	حضر
أحضرت	حضر
أحكام	حكم
أحلام	حلم
أحلم	حلم
أحلى	حلى
أحمد	حمد
أحمدي	حمد
أحمر	أحمر
أحمق	أحمق
أحوال	حال
أحياء	حي
أحيانا	حي
أحياناً	حين
أخ	أخ
أخبار	خبر
أخبارك	خبر
أخبر	خبر
أخبرتك	خبر
أخبرتني	خبر
أخبرك	خبر
أخبرني	خبر
أخبريني	أخبر
أختي	أخت
أخذ	أخذ
أخذت	أخذ
أخرج	خرج
أخرى	آخر
أخري	خر
أخشى	خشي
أخضر	أخضر
أخطاء	خطأ
أخطر	خطر
أخفي	خفي
أخواني	خوان
أخوكم	أخ
أخوي	أخ
أخي	أخ
أخيرا	خير
أخيراً	خير
أخيه	أخ
أداة	أداة
أدب	دب
أدت	أدى
أدرك	در
أدري	در
أدلة	دليل
أدنى	دنى
أدوات	أداة
أدوية	دواء
أدى	ودى
أديب	أديب
أذكر	ذكر
أراد	أراد
أرادت	أراد
أراضي	أرض
أراضيها	أرض
أراك	رأى
أراه	رأى
أرباح	ربح
أربع	ربع
أربعة	أربع
أربعين	ربع
أرجو	رجا
أرجوك	رجي
أرد	رد
أردت	رد
أردني	رد
أردنية	أردني
أرسل	رسول
أرسلت	أرسل
أرشفة	رشفة
أرشيف	أرشيف
أرض	أرض
أرضه	أرض
أرضية	أرضي
أرغب	رغب
أرغم	رغم
أرقام	رقم
أركان	ركن
أرمينيا	أرميني
أرواح	روح
أروع	روع
أرى	رأى
أريحا	ريح
أريد	أراد
أريدك	أراد
أريده	أراد
أزمات	أزمة
أزمة	أزمة
